Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Quartile Range
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,2,13,Aug 19 - Aug 31,9.5,8.1,11,8.1 - 11.0,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,2,13,Aug 19 - Aug 31,10.1,8.4,12.1,8.4 - 12.1,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,2,13,Aug 19 - Aug 31,12.3,9.7,15.3,9.7 - 15.3,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,2,13,Aug 19 - Aug 31,10,7.4,13,7.4 - 13.0,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,13,Aug 19 - Aug 31,19.1,13.9,25.3,13.9 - 25.3,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,2,13,Aug 19 - Aug 31,7.8,6.4,9.5,6.4 - 9.5,7.2-8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,2,13,Aug 19 - Aug 31,7.9,5.9,10.2,5.9 - 10.2,7.2-8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,2,13,Aug 19 - Aug 31,11.9,8.4,16.1,8.4 - 16.1,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,2,13,Aug 19 - Aug 31,8.3,6.5,10.4,6.5 - 10.4,7.2-8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,2,13,Aug 19 - Aug 31,8.8,7.2,10.7,7.2 - 10.7,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,2,13,Aug 19 - Aug 31,6.8,5.2,8.7,5.2 - 8.7,4.9-7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,2,13,Aug 19 - Aug 31,8.1,6.6,9.7,6.6 - 9.7,7.2-8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,2,13,Aug 19 - Aug 31,7.7,6,9.7,6.0 - 9.7,7.2-8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,2,13,Aug 19 - Aug 31,5.8,4.2,7.9,4.2 - 7.9,4.9-7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,2,13,Aug 19 - Aug 31,9.5,7.3,12.1,7.3 - 12.1,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,2,13,Aug 19 - Aug 31,12.4,9.2,16.1,9.2 - 16.1,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,2,13,Aug 19 - Aug 31,8.7,7.5,10.1,7.5 - 10.1,7.2-8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,13,Aug 19 - Aug 31,12.7,11.3,14.2,11.3 - 14.2,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,2,13,Aug 19 - Aug 31,9,7.2,11.2,7.2 - 11.2,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,2,13,Aug 19 - Aug 31,9.5,8.2,10.9,8.2 - 10.9,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,Aug 19 - Aug 31,6.8,4.8,9.3,4.8 - 9.3,4.9-7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,2,13,Aug 19 - Aug 31,7.9,5.9,10.2,5.9 - 10.2,7.2-8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,2,13,Aug 19 - Aug 31,9.2,7.1,11.7,7.1 - 11.7,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,2,13,Aug 19 - Aug 31,6.8,5,8.9,5.0 - 8.9,4.9-7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,2,13,Aug 19 - Aug 31,6.7,5.3,8.3,5.3 - 8.3,4.9-7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,Aug 19 - Aug 31,7.1,5.4,9.2,5.4 - 9.2,4.9-7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,Aug 19 - Aug 31,9.3,7.7,11,7.7 - 11.0,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,Aug 19 - Aug 31,10.1,8,12.5,8.0 - 12.5,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,2,13,Aug 19 - Aug 31,10.5,9,12,9.0 - 12.0,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,Aug 19 - Aug 31,8.9,6.9,11.2,6.9 - 11.2,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,Aug 19 - Aug 31,4.9,3.3,6.9,3.3 - 6.9,4.9-7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,2,13,Aug 19 - Aug 31,9.6,7.4,12.1,7.4 - 12.1,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,Aug 19 - Aug 31,7.5,5.5,9.9,5.5 - 9.9,7.2-8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,2,13,Aug 19 - Aug 31,13,11,15.2,11.0 - 15.2,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,Aug 19 - Aug 31,9.3,7.9,10.8,7.9 - 10.8,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,Aug 19 - Aug 31,13.5,10.6,17,10.6 - 17.0,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,Aug 19 - Aug 31,5.4,3.8,7.5,3.8 - 7.5,4.9-7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,Aug 19 - Aug 31,6.2,4.3,8.6,4.3 - 8.6,4.9-7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,Aug 19 - Aug 31,8.2,6.5,10.2,6.5 - 10.2,7.2-8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Texas,Texas,2,13,Aug 19 - Aug 31,6.7,5.5,8.2,5.5 - 8.2,4.9-7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Utah,Utah,2,13,Aug 19 - Aug 31,9.4,8,10.9,8.0 - 10.9,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Vermont,Vermont,2,13,Aug 19 - Aug 31,11.4,8.8,14.5,8.8 - 14.5,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Virginia,Virginia,2,13,Aug 19 - Aug 31,9.3,7.7,11.2,7.7 - 11.2,8.8-10.0
"Received Counseling or Therapy, Last 4 Weeks",By State,Washington,Washington,2,13,Aug 19 - Aug 31,10.3,8.8,11.9,8.8 - 11.9,10.1-19.1
"Received Counseling or Therapy, Last 4 Weeks",By State,West Virginia,West Virginia,2,13,Aug 19 - Aug 31,5.1,3.6,6.9,3.6 - 6.9,4.9-7.1
"Received Counseling or Therapy, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,13,Aug 19 - Aug 31,7.2,5.9,8.6,5.9 - 8.6,7.2-8.7
"Received Counseling or Therapy, Last 4 Weeks",By State,Wyoming,Wyoming,2,13,Aug 19 - Aug 31,5.3,3.8,7.2,3.8 - 7.2,4.9-7.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",National Estimate,United States,United States,2,13,Aug 19 - Aug 31,9.2,8.8,9.6,8.8 - 9.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,18 - 29 years,2,13,Aug 19 - Aug 31,15.6,14.5,16.7,14.5 - 16.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,30 - 39 years,2,13,Aug 19 - Aug 31,12.9,11.9,13.9,11.9 - 13.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,40 - 49 years,2,13,Aug 19 - Aug 31,10,9.3,10.7,9.3 - 10.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,50 - 59 years,2,13,Aug 19 - Aug 31,7.7,6.9,8.5,6.9 - 8.5,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,60 - 69 years,2,13,Aug 19 - Aug 31,5.3,4.8,5.9,4.8 - 5.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,70 - 79 years,2,13,Aug 19 - Aug 31,2.9,2.2,3.6,2.2 - 3.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Age,United States,80 years and above,2,13,Aug 19 - Aug 31,1.4,0.9,2,0.9 - 2.0,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Male,2,13,Aug 19 - Aug 31,6.8,6.2,7.3,6.2 - 7.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Sex,United States,Female,2,13,Aug 19 - Aug 31,11.4,10.9,11.9,10.9 - 11.9,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,2,13,Aug 19 - Aug 31,2.4,2.2,2.7,2.2 - 2.7,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,2,13,Aug 19 - Aug 31,21,20.2,21.8,20.2 - 21.8,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,13,Aug 19 - Aug 31,9.6,8.6,10.6,8.6 - 10.6,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,13,Aug 19 - Aug 31,9.1,8.7,9.5,8.7 - 9.5,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,13,Aug 19 - Aug 31,9.3,8.3,10.3,8.3 - 10.3,
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,13,Aug 19 - Aug 31,4.8,3.9,5.8,3.9 - 5.8,
